FounderExperience,TeamSize,FundingAmount,MarketSize,InnovationScore,MarketingBudget,CompetitionLevel,IndustryType,FounderEducation,ProductStage,RevenueGrowth,StartupSuccess
15,56,32.26,2,7,19.3,6,Ecommerce,MBA,Idea,75.31,1
22,39,41.01,9,9,1.56,2,Ecommerce,PhD,MVP,78.97,1
22,25,16.74,6,1,1.16,5,SaaS,Masters,Prototype,52.78,0
23,20,36.68,9,10,18.76,7,FinTech,Masters,Growth,-8.84,1
4,2,26.48,6,4,10.64,8,SaaS,Bachelors,Prototype,73.78,1
2,39,39.69,6,3,12.34,3,HealthTech,Bachelors,Growth,1.73,1
11,6,49.53,2,5,9.7,1,SaaS,PhD,MVP,2.86,0
7,17,10.11,8,7,1.96,7,Ecommerce,Bachelors,Idea,56.62,1
21,59,49.73,3,8,15.38,5,AgriTech,MBA,MVP,98.19,0
2,25,4.58,7,2,14.97,5,SaaS,PhD,MVP,16.68,1
0,57,0.22,5,7,6.3,7,EdTech,Masters,Growth,61.04,1
2,28,2.3,3,1,6.19,1,FinTech,Masters,Prototype,23.4,0
4,2,17.15,1,7,16.77,8,Ecommerce,MBA,Idea,88.86,1
14,35,31.68,8,8,1.54,10,AgriTech,Bachelors,Idea,55.29,1
13,37,3.54,3,2,17.63,5,AI,PhD,Idea,12.82,1
2,5,0.38,2,9,5.21,8,SaaS,PhD,Idea,18.83,0
0,1,46.86,1,1,11.9,10,Ecommerce,MBA,Prototype,37.57,0
4,40,41.11,4,6,18.73,10,AI,Bachelors,Idea,3.42,1
22,12,40.48,8,1,13.59,5,AI,PhD,Growth,-1.34,1
13,56,44.23,3,3,8.35,7,HealthTech,MBA,Growth,64.81,1
6,36,35.03,1,6,13.82,10,HealthTech,PhD,Idea,34.79,1
8,45,5.31,4,3,6.95,3,AgriTech,Masters,Idea,69.88,1
14,23,20.02,9,8,5.62,2,Ecommerce,PhD,Prototype,2.11,1
14,47,36.19,1,5,19.93,6,AgriTech,PhD,Prototype,57.09,1
9,31,14.09,2,2,15.04,5,Ecommerce,PhD,Idea,38.76,0
12,11,34.4,9,4,12.93,9,EdTech,Bachelors,Prototype,-3.62,0
18,10,1.32,2,9,7.17,10,FinTech,Bachelors,MVP,49.93,0
6,3,15.38,3,4,1.08,4,FinTech,MBA,Idea,-0.89,0
16,54,27.5,7,10,0.72,3,Ecommerce,Bachelors,Prototype,81.05,0
19,14,31.64,3,10,11.13,9,HealthTech,PhD,Growth,59.52,1
3,16,28.89,9,8,15.26,8,SaaS,PhD,Idea,51.27,0
4,10,34.92,6,5,10.79,6,AgriTech,Bachelors,Idea,4.68,0
22,29,0.4,3,10,16.83,1,EdTech,Bachelors,Growth,21.62,1
6,10,5.14,9,1,0.77,10,FinTech,PhD,Growth,44.22,0
12,12,43.46,1,7,7.4,1,Ecommerce,PhD,Prototype,59.66,1
14,30,34.12,10,3,4.82,6,HealthTech,Masters,Growth,10.16,0
10,41,5.74,3,10,9.0,3,HealthTech,MBA,MVP,-9.02,1
3,1,42.12,1,8,1.54,3,HealthTech,Bachelors,Idea,27.92,1
12,5,12.19,2,3,19.09,6,AgriTech,MBA,MVP,43.12,0
6,20,23.97,8,1,4.54,3,SaaS,PhD,Prototype,10.29,0
18,8,7.35,7,5,18.45,10,AI,MBA,Growth,44.14,1
21,43,35.53,2,2,8.58,6,AgriTech,Bachelors,Idea,27.23,0
1,12,33.38,2,4,19.71,5,SaaS,Bachelors,Growth,40.06,0
9,1,10.63,9,1,11.13,4,HealthTech,MBA,Growth,28.22,1
12,57,43.18,6,9,18.62,8,Ecommerce,Bachelors,Prototype,59.13,1
24,54,20.13,5,6,0.21,2,EdTech,Masters,Prototype,-5.28,1
20,20,14.7,10,8,14.99,7,SaaS,PhD,Prototype,8.8,0
5,28,7.7,6,4,18.07,4,Ecommerce,PhD,Prototype,37.6,0
11,57,13.38,9,9,2.88,2,AgriTech,Bachelors,Idea,29.19,0
11,43,1.2,7,2,2.01,7,AgriTech,PhD,MVP,33.08,1
19,37,29.2,10,9,8.55,1,HealthTech,Masters,MVP,78.41,1
10,47,42.13,10,5,18.68,4,EdTech,Bachelors,Idea,87.5,1
22,37,27.49,9,6,10.89,9,FinTech,Masters,Growth,17.35,1
24,12,11.04,4,3,10.6,4,FinTech,Masters,Idea,82.0,0
6,37,1.78,2,4,2.91,3,AgriTech,PhD,MVP,40.47,1
0,49,10.81,8,6,0.12,10,Ecommerce,PhD,MVP,20.12,1
0,49,20.86,4,7,16.22,10,EdTech,MBA,Idea,98.4,1
24,56,38.0,9,1,1.84,2,Ecommerce,Masters,Prototype,80.73,1
24,44,9.47,4,7,12.71,3,EdTech,PhD,Growth,99.37,1
19,56,36.02,8,1,18.3,1,EdTech,Masters,Idea,8.5,1
12,28,43.36,9,5,4.25,10,AgriTech,MBA,MVP,5.82,0
8,47,22.75,9,6,13.34,8,Ecommerce,Masters,Prototype,45.37,1
2,15,41.09,10,2,1.67,1,AgriTech,Bachelors,Growth,60.25,1
6,6,27.78,4,10,12.11,3,EdTech,MBA,MVP,8.82,1
5,44,31.89,1,9,3.36,3,SaaS,MBA,Growth,84.65,1
7,59,26.36,3,10,14.75,2,HealthTech,Masters,Prototype,48.52,1
8,20,23.21,9,6,6.09,5,EdTech,Masters,MVP,35.2,0
4,50,11.81,4,7,9.32,10,SaaS,PhD,Prototype,56.23,0
0,14,15.23,5,10,12.03,3,EdTech,Bachelors,Idea,59.84,1
18,2,14.57,7,8,3.51,3,SaaS,MBA,Idea,-5.29,1
9,9,28.21,5,10,14.86,8,Ecommerce,MBA,Growth,99.99,1
11,37,6.09,4,1,6.12,4,FinTech,MBA,Prototype,30.03,0
23,20,45.85,2,8,13.28,4,AI,PhD,Prototype,-3.23,1
14,26,36.06,2,4,3.25,3,EdTech,Bachelors,Growth,83.76,1
21,29,20.13,4,10,13.79,1,AI,MBA,Growth,99.23,1
23,1,8.02,10,8,2.65,8,EdTech,MBA,Growth,79.8,0
8,55,44.11,10,6,8.56,1,Ecommerce,PhD,Idea,83.71,0
19,35,41.21,9,9,5.02,7,Ecommerce,Masters,Growth,58.85,1
16,6,36.11,8,4,14.99,5,SaaS,MBA,Idea,91.46,1
16,37,13.65,3,2,5.31,4,EdTech,Bachelors,Growth,-6.07,0
19,53,20.18,9,2,17.65,4,Ecommerce,Bachelors,Prototype,74.34,0
11,59,5.23,5,5,17.85,8,Ecommerce,Bachelors,Prototype,63.78,1
6,5,9.53,3,10,4.01,6,EdTech,Bachelors,Growth,-4.55,1
1,33,39.17,5,9,12.32,1,SaaS,PhD,Growth,49.84,1
2,49,35.78,10,3,1.85,10,SaaS,MBA,Idea,46.66,1
16,51,29.71,4,8,7.89,8,SaaS,PhD,MVP,66.07,1
4,14,44.8,8,4,14.3,2,SaaS,Bachelors,Idea,-1.47,0
16,12,29.2,5,6,13.22,6,FinTech,Bachelors,Prototype,78.58,1
23,42,23.4,10,10,12.53,9,EdTech,Bachelors,Growth,5.33,0
16,20,17.08,8,6,5.72,1,AgriTech,PhD,Prototype,36.05,1
16,53,47.03,9,3,7.62,6,FinTech,Bachelors,MVP,86.94,0
1,50,4.23,4,5,2.15,8,Ecommerce,MBA,Idea,51.66,0
1,24,46.55,7,3,14.41,10,FinTech,Bachelors,Prototype,31.76,0
21,59,41.35,2,1,10.13,2,AgriTech,MBA,Idea,-4.7,1
22,43,6.58,6,7,14.2,5,AgriTech,MBA,Growth,63.95,1
4,34,28.29,8,4,5.05,6,AgriTech,Bachelors,Prototype,98.52,1
0,25,43.34,7,7,6.56,5,SaaS,PhD,MVP,90.3,0
0,50,28.63,7,3,6.75,3,Ecommerce,Masters,Idea,68.9,1
18,29,45.37,8,5,0.61,4,FinTech,Masters,Idea,1.58,1
1,57,47.15,7,5,6.89,7,FinTech,MBA,MVP,16.34,1
20,39,21.18,5,2,16.09,4,EdTech,PhD,Prototype,10.55,1
11,31,18.93,7,10,17.96,9,FinTech,Masters,Prototype,29.1,0
5,56,46.82,10,2,10.41,10,Ecommerce,Bachelors,Idea,15.91,0
22,47,33.79,3,4,9.16,2,SaaS,Bachelors,MVP,16.89,1
3,43,5.89,5,4,0.71,5,EdTech,MBA,Idea,57.84,0
22,50,2.21,7,4,17.6,8,FinTech,PhD,Idea,25.06,0
10,23,28.27,9,6,0.36,5,EdTech,PhD,Growth,64.49,1
23,44,46.52,2,2,18.9,10,AI,Masters,Prototype,94.27,1
16,38,42.23,4,6,9.84,8,EdTech,Masters,Prototype,60.23,1
5,20,33.82,7,7,6.9,8,AgriTech,Bachelors,Growth,72.68,1
23,23,7.04,1,10,18.49,9,SaaS,MBA,Prototype,72.67,1
4,45,12.79,2,3,0.59,10,AgriTech,PhD,Prototype,26.38,0
19,52,43.79,9,8,11.67,6,AI,Masters,Prototype,-8.35,1
1,16,9.22,10,2,11.02,4,AgriTech,Masters,MVP,-3.94,0
5,50,13.99,7,8,4.46,3,AI,MBA,Growth,21.03,1
21,42,6.57,10,5,8.63,5,EdTech,MBA,Idea,65.85,0
10,55,33.84,7,2,13.08,6,Ecommerce,Bachelors,MVP,89.74,1
15,8,47.2,6,7,14.57,3,SaaS,MBA,Idea,95.47,0
15,50,13.52,3,2,0.11,2,Ecommerce,Bachelors,Growth,-7.16,0
0,21,23.82,10,6,18.74,7,SaaS,Bachelors,Growth,98.91,1
8,1,31.75,3,10,3.37,5,SaaS,MBA,Growth,25.47,1
5,55,49.97,2,3,4.75,9,AgriTech,MBA,Prototype,82.73,0
15,8,5.33,6,9,5.34,3,AgriTech,MBA,MVP,9.83,1
2,29,24.98,4,3,0.85,8,Ecommerce,MBA,Growth,-3.08,0
19,32,19.32,5,3,2.55,6,HealthTech,MBA,Idea,31.62,1
3,38,43.3,3,5,19.73,4,AI,Bachelors,Prototype,84.48,1
18,5,23.85,6,7,6.37,9,AgriTech,Masters,Prototype,14.29,1
2,47,5.64,3,8,2.39,5,AgriTech,PhD,MVP,6.94,0
18,22,31.76,8,7,2.23,10,AgriTech,PhD,MVP,90.08,1
19,47,38.56,9,9,14.42,6,EdTech,Bachelors,MVP,93.22,1
6,34,0.24,4,5,17.11,9,Ecommerce,Bachelors,Prototype,-8.62,1
19,1,42.96,9,10,5.21,7,Ecommerce,Masters,Growth,70.02,1
8,55,9.38,7,3,0.52,5,AgriTech,MBA,Idea,24.01,1
0,55,27.65,3,6,4.54,2,EdTech,Bachelors,Growth,31.22,1
7,26,20.85,7,5,1.22,4,AgriTech,PhD,Idea,41.6,1
6,43,36.01,1,4,2.16,2,AI,MBA,Growth,36.95,0
17,10,18.62,3,2,8.69,3,EdTech,Bachelors,MVP,46.65,1
7,30,43.5,6,7,4.68,10,AgriTech,MBA,Idea,54.06,0
0,50,36.55,4,5,10.37,3,SaaS,PhD,Prototype,41.22,0
10,18,32.42,7,4,5.14,4,HealthTech,MBA,Idea,67.17,0
24,17,39.83,3,8,18.82,6,SaaS,Bachelors,Prototype,69.05,0
24,26,37.73,1,9,18.13,3,HealthTech,Bachelors,Growth,38.44,1
17,8,1.89,9,9,11.38,10,EdTech,PhD,MVP,5.67,0
22,47,19.8,6,3,7.15,1,SaaS,Masters,Idea,60.47,0
9,40,46.55,8,3,7.68,1,AI,Masters,Prototype,75.03,0
2,49,6.37,3,5,8.3,9,SaaS,MBA,Growth,60.19,0
6,12,36.88,8,5,14.58,9,Ecommerce,Bachelors,MVP,54.69,1
15,27,48.73,2,10,9.09,5,HealthTech,Bachelors,MVP,15.24,0
15,8,2.7,4,2,17.15,9,HealthTech,PhD,MVP,60.97,0
24,25,34.14,3,1,18.89,7,AgriTech,PhD,Growth,26.83,1
19,46,23.46,10,8,6.79,9,AI,Bachelors,Growth,91.15,1
16,4,29.0,1,3,11.26,7,HealthTech,PhD,Growth,61.91,1
1,33,4.36,7,1,1.99,9,HealthTech,Masters,MVP,20.6,1
0,1,2.25,10,1,4.09,2,AgriTech,Masters,Idea,42.02,0
15,19,33.38,2,2,8.33,8,AI,MBA,Prototype,83.12,0
11,31,41.18,4,6,4.2,7,SaaS,PhD,Growth,26.9,1
4,16,39.12,9,6,17.54,6,EdTech,MBA,Idea,47.8,1
4,14,27.24,6,3,3.25,5,SaaS,PhD,Prototype,64.76,0
22,53,5.08,8,4,9.17,4,Ecommerce,PhD,MVP,73.0,1
8,48,34.43,2,2,12.15,7,Ecommerce,Masters,Idea,9.13,1
8,5,12.17,7,2,13.87,3,HealthTech,Bachelors,MVP,52.17,0
2,41,45.56,6,7,7.72,8,Ecommerce,PhD,Prototype,90.34,1
18,26,41.93,9,1,17.4,2,EdTech,PhD,Growth,96.52,1
15,28,35.5,7,7,11.41,1,HealthTech,PhD,MVP,62.18,1
15,2,47.45,1,1,8.85,2,AgriTech,Bachelors,Idea,98.2,0
2,50,1.67,8,6,1.44,9,Ecommerce,MBA,Growth,52.78,0
19,6,36.84,10,3,9.35,5,AgriTech,MBA,Idea,38.69,1
23,9,16.58,3,8,16.43,8,FinTech,PhD,Prototype,50.67,1
21,33,45.31,2,6,12.33,3,FinTech,PhD,Prototype,2.73,1
23,41,13.41,3,2,16.66,7,FinTech,MBA,Growth,34.19,1
0,25,36.27,6,8,9.93,2,AgriTech,MBA,Idea,40.42,1
23,48,43.89,3,5,2.46,8,FinTech,Masters,Idea,83.35,0
19,13,2.18,10,8,0.37,7,SaaS,PhD,Idea,73.45,1
10,9,19.94,5,8,6.13,5,FinTech,MBA,Idea,56.16,1
16,53,38.14,6,6,13.99,4,HealthTech,Masters,Prototype,28.2,1
7,13,22.8,8,2,15.83,1,AI,Bachelors,Idea,10.57,1
3,31,13.44,7,8,5.99,5,SaaS,PhD,Prototype,28.25,0
5,41,11.07,8,6,9.96,9,AI,MBA,Idea,64.78,0
7,11,6.66,3,6,8.48,10,HealthTech,PhD,Idea,18.93,1
19,4,42.87,4,8,8.27,4,HealthTech,Masters,MVP,36.96,1
2,34,28.81,6,1,4.7,9,EdTech,MBA,MVP,32.54,0
15,38,3.91,7,2,2.81,2,SaaS,Bachelors,Idea,74.21,0
24,46,19.19,9,9,4.01,4,AI,Bachelors,Prototype,87.22,0
2,4,18.45,1,8,1.2,9,FinTech,Masters,Idea,66.93,1
24,38,9.17,8,7,4.04,4,HealthTech,Bachelors,MVP,27.58,1
17,19,21.83,8,7,0.28,5,FinTech,Bachelors,Idea,37.65,1
13,6,16.67,6,5,12.58,8,AI,Bachelors,MVP,5.77,1
17,34,17.16,4,2,6.4,1,AgriTech,Bachelors,Idea,8.49,0
1,18,36.98,3,6,19.47,1,SaaS,Bachelors,Growth,8.07,1
21,13,11.24,3,10,3.95,9,Ecommerce,Bachelors,Idea,4.36,0
2,41,32.13,6,3,6.98,9,AgriTech,Bachelors,Prototype,9.75,1
15,23,28.58,8,4,7.22,4,AgriTech,MBA,MVP,12.3,0
8,19,28.45,7,10,0.27,2,Ecommerce,Bachelors,Growth,2.3,1
3,45,33.18,1,2,16.8,9,HealthTech,MBA,MVP,60.43,1
0,11,27.46,6,2,0.74,4,EdTech,PhD,MVP,98.94,0
3,1,43.97,7,8,18.81,6,FinTech,Masters,Prototype,86.71,1
0,24,33.81,7,8,17.85,1,HealthTech,Bachelors,Idea,-4.98,1
13,54,27.39,9,10,10.76,9,EdTech,Masters,Prototype,36.54,1
20,7,41.51,10,6,10.92,5,FinTech,Bachelors,Idea,84.52,0
15,25,30.35,5,5,13.11,3,AI,MBA,Growth,4.81,1
19,21,14.63,1,8,7.8,4,AgriTech,Bachelors,Prototype,83.24,0
23,15,10.43,2,4,12.98,1,AgriTech,PhD,Prototype,55.2,0
7,1,7.7,4,4,0.99,9,Ecommerce,Masters,MVP,92.44,0
6,12,44.98,5,5,1.18,8,EdTech,Masters,Prototype,86.36,0
2,58,35.54,9,1,9.2,4,FinTech,PhD,Idea,64.47,1
16,7,46.88,1,1,11.04,2,HealthTech,MBA,Prototype,62.36,1
0,15,30.2,3,2,17.77,9,FinTech,MBA,Prototype,13.45,0
15,21,23.72,5,8,2.18,4,HealthTech,PhD,Growth,2.84,0
11,19,3.08,3,7,16.47,9,AgriTech,Masters,Idea,35.69,0
18,29,33.61,4,10,4.28,10,Ecommerce,Bachelors,MVP,10.52,1
21,25,29.15,3,9,7.94,3,Ecommerce,MBA,Idea,1.27,1
22,33,49.51,4,5,6.4,7,FinTech,Bachelors,Growth,23.26,1
21,49,12.03,1,2,8.06,7,FinTech,Masters,Idea,84.65,1
13,32,26.58,8,7,3.09,10,HealthTech,Bachelors,Idea,-8.11,1
5,49,32.58,4,8,10.12,4,HealthTech,PhD,Prototype,22.19,1
5,35,32.27,7,7,16.05,2,EdTech,MBA,Prototype,36.65,1
12,44,28.11,2,7,8.89,9,AgriTech,MBA,Idea,46.16,0
18,38,38.87,2,5,9.86,4,EdTech,PhD,Idea,9.97,1
21,26,10.33,6,2,16.99,8,EdTech,PhD,MVP,96.06,1
7,11,36.31,2,6,14.15,2,FinTech,MBA,Growth,53.68,1
1,35,31.02,6,4,9.86,8,SaaS,MBA,Prototype,47.43,0
20,8,44.81,2,10,5.23,10,SaaS,MBA,Prototype,-9.03,1
0,46,42.38,4,2,17.71,5,SaaS,Masters,Prototype,43.43,1
14,14,15.83,7,9,11.58,7,SaaS,Masters,Prototype,82.14,1
0,10,13.88,8,7,4.5,7,EdTech,Masters,Idea,14.16,1
4,2,49.08,3,6,5.46,9,FinTech,Bachelors,Idea,28.63,1
15,46,26.41,9,5,16.08,3,SaaS,Masters,MVP,-7.74,1
18,9,45.33,2,3,0.98,10,Ecommerce,MBA,Prototype,97.46,0
3,3,8.28,8,10,19.84,4,AI,Masters,Prototype,-2.67,0
2,21,32.18,8,10,2.69,10,Ecommerce,MBA,Idea,88.8,0
16,26,40.51,4,4,15.94,4,FinTech,PhD,MVP,24.43,1
16,8,47.38,1,3,7.96,10,FinTech,Bachelors,Idea,54.63,0
11,48,16.93,1,8,9.9,5,AI,Bachelors,Prototype,64.72,1
13,2,36.28,2,3,17.62,6,HealthTech,PhD,Prototype,5.49,1
20,6,26.99,9,7,8.32,3,HealthTech,MBA,Growth,38.81,1
5,28,3.13,2,7,10.8,4,HealthTech,Bachelors,Growth,25.8,0
